id,NombreCliente,CreationDate,RateForShort,RateForLong,ShortRateType,LongRateType,ShortRateQty,LongRateQty,Estatus,FirstName,LastName,PhoneNumber,Email,Extension,RoomName,TotalCredits,TotalLongSmsCredits,TotalShortSmsCredits,DeactivationDate
"3","Hector","6/18/2025 2:58:48 PM","0.02","0.10","0","1","1000","1000","1","Hector","Trejo","5539006706","hec_tre_sa1n@hotmail.com","","Default, sala cuatro, Sala dos, tres","7903","7363","535","7/8/2025 7:04:19 PM"
"1002","Hector 2","6/18/2025 2:58:48 PM","0.01","0.50","1","0","1000","1000","0","Hector Jesus","Trejo","5539006706","hec.tre.1san@gmail.com","","Default","0","0","0",""
"2003","Cliente 1","7/6/2025 8:13:05 PM","0.26","0.10","0","0","2,000","2,000","0","Jesus","Trejo","5587554862","Correo1@correo.com","","Default","0","0","0","7/6/2025 8:18:24 PM"
"3003","Cliente3","7/7/2025 4:23:12 PM","0.28","0.13","0","0","1–999","1,000","0","Jesus","Trejo","5587554862","Correo1@correo.com","","default","0","0","0","7/7/2025 4:24:18 PM"
"4003","Cliente5","7/9/2025 2:01:59 PM","0.26","0.10","0","0","2,000","2,000","0","Cliente nombre 6","cliente apellido","5539006706","correo4@gmail.com","","Default","7","7","0",""
"5003","clientehector","7/23/2025 6:01:47 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","trejo","5539006706","hec.tre.2san@gmail.com","","Default","0","0","0",""
"5004","Hector cliente","7/23/2025 6:03:15 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.3san@gmail.com","","Default","0","0","0",""
"5005","hector prueba","7/23/2025 6:08:01 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.4san@gmail.com","","Default","0","0","0",""
"5006","Hector1","7/23/2025 6:11:29 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.5san@gmail.com","","Default","0","0","0",""
"5007","Hector3","7/23/2025 6:15:22 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.6san@gmail.com","","Default","0","0","0",""
"5008","Hector4","7/23/2025 6:17:49 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.7san@gmail.com","","Default","0","0","0",""
"5009","Hector5","7/23/2025 6:22:41 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.8san@gmail.com","","Default","0","0","0",""
"5010","Hector6","7/23/2025 6:45:01 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.9san@gmail.com","","Default","0","0","0",""
"5011","Hector10","7/23/2025 6:48:00 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.10san@gmail.com","","Default","0","0","0",""
"5024","Hector11","7/23/2025 7:03:36 PM","0.27","0.13","0","0","1000","1000","1","HECTOR","SANCHEZ","5539006706","hec.tre.11san@gmail.com","","Default","0","0","0","7/25/2025 12:04:43 PM"
"5025","Hector12","7/23/2025 9:51:05 PM","0.27","0.13","0","0","1000","1000","0","HECTOR","SANCHEZ","5539006706","hec.tre.12san@gmail.com","","Default","0","0","0",""
"5026","Hector13","7/23/2025 10:46:40 PM","0.27","0.13","0","0","1000","1000","0","HECTOR","SANCHEZ","5539006706","hec.tre.13san@gmail.com","","Default","0","0","0",""
"6003","Hector14","7/23/2025 11:23:41 PM","0.27","0.15","0","0","1000","1","0","HECTOR","SANCHEZ","5539006706","hec.tre.san@gmail.com","","Default","2","0","2",""
"6004","Hector15","7/25/2025 12:09:19 PM","0.28","0.13","0","0","1-999","1000","0","Jesus","SANCHEZ","5539006706","hec_tre_san1@hotmail.com","","Default","0","0","0",""
"7003","Prueba1cliente","7/28/2025 5:04:57 PM","0.26","0.13","0","0","2000","1000","0","HECTOR","SANCHEZ","5539006706","hec_tre_san@hotmail.com","","Default","0","0","0",""
